Chunk Type,Fund Name,Source URL,Data
risk_information,UTI Small Cap Fund Direct Growth,https://groww.in/mutual-funds/uti-small-cap-fund-direct-growth,"{""riskometer"": ""Very High"", ""risk_metrics"": {""alpha"": ""0.18"", ""beta"": ""0.86"", ""sharpe"": ""0.81"", ""sortino"": ""1.17""}, ""benchmark"": ""NIFTY Smallcap 250 TRI""}"
risk_information,UTI Value Fund Direct Growth,https://groww.in/mutual-funds/uti-value-fund-direct-growth,"{""riskometer"": ""Very High"", ""risk_metrics"": {""alpha"": ""3.13"", ""beta"": ""0.91"", ""sharpe"": ""0.96"", ""sortino"": ""1.55""}, ""benchmark"": ""NIFTY 500 TRI""}"
risk_information,UTI Mid Cap Fund Direct Growth,https://groww.in/mutual-funds/uti-mid-cap-fund-direct-growth,"{""riskometer"": ""Very High"", ""risk_metrics"": {""alpha"": ""50"", ""beta"": ""0.96"", ""sharpe"": ""0.73"", ""sortino"": ""1.03""}, ""benchmark"": ""NIFTY Midcap 150 TRI""}"
risk_information,UTI Nifty Next 50 Index Fund Direct Growth,https://groww.in/mutual-funds/uti-nifty-next-50-index-fund-direct-growth,"{""riskometer"": ""Very High"", ""risk_metrics"": {""alpha"": ""0.87"", ""beta"": ""1.32"", ""sharpe"": ""0.69"", ""sortino"": ""0.95""}, ""benchmark"": ""NIFTY Next 50 TRI""}"
risk_information,UTI Banking and Financial Services Fund Direct Plan Growth,https://groww.in/mutual-funds/uti-banking-sector-fund-direct-growth,"{""riskometer"": ""Very High"", ""risk_metrics"": {""alpha"": ""5.35"", ""beta"": ""0.86"", ""sharpe"": ""0.85"", ""sortino"": ""1.99""}, ""benchmark"": ""NIFTY Financial Services TRI""}"
risk_information,UTI Nifty 50 Index Fund Direct Growth,https://groww.in/mutual-funds/uti-nifty-fund-direct-growth,"{""riskometer"": ""Very High"", ""risk_metrics"": {""alpha"": ""50"", ""beta"": ""0.95"", ""sharpe"": ""0.62"", ""sortino"": ""1.03""}, ""benchmark"": ""NIFTY 50 TRI""}"
risk_information,UTI Flexi Cap Fund Direct Growth,https://groww.in/mutual-funds/uti-equity-fund-direct-growth,"{""riskometer"": ""Very High"", ""risk_metrics"": {""alpha"": ""50"", ""beta"": ""0.83"", ""sharpe"": ""0.46"", ""sortino"": ""0.70""}, ""benchmark"": ""NIFTY 500 TRI""}"
risk_information,UTI Money Market Fund Regular Plan Growth,https://groww.in/mutual-funds/uti-money-market-fund-regular-plan-growth,"{""riskometer"": ""Low to Moderate"", ""risk_metrics"": {""alpha"": ""2.51"", ""beta"": ""0.83"", ""sharpe"": ""3.44"", ""sortino"": ""7.72""}, ""benchmark"": ""CRISIL Money Market A-I Index""}"
risk_information,UTI Liquid Direct Growth,https://groww.in/mutual-funds/uti-liquid-cash-plan-direct-growth,"{""riskometer"": ""Low to Moderate"", ""risk_metrics"": {""alpha"": ""1.23"", ""beta"": ""0.36"", ""sharpe"": ""3.58"", ""sortino"": ""4.94""}, ""benchmark"": ""NIFTY Liquid Index A-I""}"
risk_information,UTI MNC Fund Direct Growth,https://groww.in/mutual-funds/uti-mnc-fund-direct-growth,"{""riskometer"": ""Very High"", ""risk_metrics"": {""alpha"": ""0.18"", ""beta"": ""0.85"", ""sharpe"": ""0.68"", ""sortino"": ""0.87""}, ""benchmark"": ""NIFTY MNC TRI""}"
risk_information,UTI India Consumer Fund Direct Growth,https://groww.in/mutual-funds/uti-india-lifestyle-fund-direct-growth,"{""riskometer"": ""Very High"", ""risk_metrics"": {""alpha"": ""50"", ""beta"": ""0.84"", ""sharpe"": ""0.59"", ""sortino"": ""0.78""}, ""benchmark"": ""NIFTY India Consumption TRI""}"
risk_information,UTI Long Term Advantage Fund Series III Direct Growth,https://groww.in/mutual-funds/uti-long-term-advantage-fund-series-iii-direct-growth,"{""riskometer"": ""Very High"", ""risk_metrics"": {""alpha"": ""50"", ""beta"": ""1.10"", ""sharpe"": ""0.49"", ""sortino"": ""0.53""}, ""benchmark"": ""BSE 100 TRI""}"
platform_information,Where can I get the transaction history?,https://groww.in/help/my-account/ma-others/where-can-i-get-the-transaction-history,"{""statement_download_info"": ""Steps to request your Transaction/Order History: Go to your profile.""}"
platform_information,Groww Platform,https://groww.in/help/my-account/ma-others/where-can-i-get-the-transaction-history,"{""is_elss"": ""No"", ""risk_metrics"": {""alpha"": ""50""}, ""statement_download_info"": ""Steps to request your Transaction/Order History: Go to your profile.""}"
